"","movies","genres"
"45274","Brothers (Brødre) (2004)","Drama"
"45275","Big Store, The (1941)","Comedy|Musical"
"45276","Carrie (2002)","Drama|Horror|Thriller"
"45277","Clean (2004)","Drama"
"45278","Hitchhiker's Guide to the Galaxy, The (2005)","Adventure|Comedy|Sci-Fi"
"45292","F for Fake (Vérités et mensonges) (1973)","Documentary|Mystery"
"45293","Amityville Horror, The (2005)","Horror|Thriller"
"45295","House of D (2004)","Drama"
"45297","Lot Like Love, A (2005)","Comedy|Drama|Romance"
"45298","xXx: State of the Union (2005)","Action|Crime|Thriller"
"45300","Kingdom of Heaven (2005)","Action|Drama|Romance|War"
"45309","Crash (2004)","Crime|Drama"
"45329","Mysterious Skin (2004)","Drama|Mystery"
"45331","Cocoanuts, The (1929)","Comedy|Musical"
"45333","Off the Map (2003)","Comedy|Drama"
"45335","Unconscious (Inconscientes) (2004)","Comedy|Mystery|Romance"
"45336","Unleashed (Danny the Dog) (2005)","Action|Crime|Drama|Thriller"
"45346","Star Wars: Episode III - Revenge of the Sith (2005)","Action|Adventure|Sci-Fi"
"45373","Kicking & Screaming (2005)","Comedy"
"45374","Monster-in-Law (2005)","Comedy|Romance"
"45375","Snow Walker, The (2003)","Adventure|Drama"
"45377","9 Songs (2004)","Drama|Romance"
"45378","Bad Guy (Nabbeun namja) (2001)","Drama"
"45380","Madagascar (2005)","Adventure|Animation|Children|Comedy"
"45388","Mad Hot Ballroom (2005)","Children|Documentary"
"45390","Dominion: Prequel to the Exorcist (2005)","Horror|Thriller"
"45391","Longest Yard, The (2005)","Comedy|Drama"
"45393","Saving Face (2004)","Comedy|Drama|Romance"
"45394","Cinderella Man (2005)","Drama|Romance"
"45404","Sisterhood of the Traveling Pants, The (2005)","Adventure|Comedy|Drama"
"45406","Lords of Dogtown (2005)","Action|Comedy|Drama"
"45407","After You (Après vous...) (2003)","Comedy|Romance"
"45408","Rock School (2005)","Documentary"
"45409","Mr. & Mrs. Smith (2005)","Action|Adventure|Comedy|Romance"
"45422","High Tension (Haute tension) (Switchblade Romance) (2003)","Horror|Thriller"
"45423","Eddie Izzard: Dress to Kill (1999)","Comedy"
"45424","Batman Begins (2005)","Action|Crime|IMAX"
"45476","Perfect Man, The (2005)","Comedy|Drama|Romance"
"45477","Heights (2004)","Drama"
"45478","Herbie: Fully Loaded (2005)","Adventure|Comedy|Romance"
"45479","Land of the Dead (2005)","Action|Horror|Thriller"
"45482","Bewitched (2005)","Comedy|Fantasy|Romance"
"45483","Me and You and Everyone We Know (2005)","Comedy|Drama"
"45487","Edukators, The (Die Fetten Jahre sind vorbei) (2004)","Comedy|Crime|Drama|Romance"
"45491","Room Service (1938)","Comedy"
"45492","At the Circus (1939)","Comedy|Musical"
"45493","War of the Worlds (2005)","Action|Adventure|Sci-Fi|Thriller"
"45504","March of the Penguins (Marche de l'empereur, La) (2005)","Documentary"
"45508","Dark Water (2005)","Drama|Horror|Thriller"
"45509","Beat That My Heart Skipped, The (battre mon coeur s'est arrêté, De) (2005)","Drama"
"45510","Fantastic Four (2005)","Action|Adventure|Sci-Fi"
"45519","Murderball (2005)","Documentary"
"45521","Wedding Crashers (2005)","Comedy|Romance"
"45534","Russian Dolls (Les poupées russes) (2005)","Comedy|Romance"
"45535","Hustle & Flow (2005)","Crime|Drama"
"45536","Island, The (2005)","Action|Sci-Fi|Thriller"
"45543","Devil's Rejects, The (2005)","Action|Crime|Horror"
"45546","Last Days (2005)","Drama"
"45547","Sky High (2005)","Action|Adventure|Children|Comedy"
"45550","Stealth (2005)","Action|Adventure|Sci-Fi|Thriller"
"45555","Must Love Dogs (2005)","Comedy|Romance"
"45556","Aristocrats, The (2005)","Comedy|Documentary"
"45562","Georgy Girl (1966)","Comedy"
"45563","Serenity (2005)","Action|Adventure|Sci-Fi"
"45582","Broken Flowers (2005)","Comedy|Drama"
"45588","Dukes of Hazzard, The (2005)","Action|Adventure|Comedy"
"45590","The Chumscrubber (2005)","Comedy|Drama"
"45591","Junebug (2005)","Comedy|Drama"
"45593","Deuce Bigalow: European Gigolo (2005)","Comedy"
"45595","Skeleton Key, The (2005)","Drama|Horror|Mystery|Thriller"
"45596","Four Brothers (2005)","Action|Crime|Drama"
"45599","The Great Raid (2005)","Action|Drama|War"
"45601","Asylum (2005)","Romance|Thriller"
"45602","Grizzly Man (2005)","Documentary"
"45605","Girl in the Café, The (2005)","Drama|Romance"
"45606","Animal Farm (1954)","Animation|Drama"
"45609","40-Year-Old Virgin, The (2005)","Comedy|Romance"
"45633","Red Eye (2005)","Horror|Thriller"
"45639","Hidden (a.k.a. Cache) (Caché) (2005)","Drama|Mystery|Thriller"
"45644","Brothers Grimm, The (2005)","Comedy|Fantasy|Horror|Thriller"
"45648","Cave, The (2005)","Action|Adventure|Horror|Mystery|Sci-Fi|Thriller"
"45650","Constant Gardener, The (2005)","Drama|Thriller"
"45655","Transporter 2 (2005)","Action|Crime|Thriller"
"45661","Just Like Heaven (2005)","Comedy|Fantasy|Romance"
"45665","Proof (2005)","Drama"
"45668","Lord of War (2005)","Action|Crime|Drama|Thriller|War"
"45686","Everything Is Illuminated (2005)","Comedy|Drama"
"45688","Thumbsucker (2005)","Comedy|Drama"
"45691","Family Guy Presents Stewie Griffin: The Untold Story (2005)","Adventure|Animation|Comedy"
"45694","New Police Story (Xin jing cha gu shi) (2004)","Action|Crime|Drama"
"45695","Go West (1940)","Comedy|Musical|Western"
"45696","Why We Fight (2005)","Documentary"
"45697","Doom (2005)","Action|Horror|Sci-Fi"
"45703","Domino (2005)","Crime|Drama|Thriller"
"45705","Waiting... (2005)","Comedy"
"45706","Aeon Flux (2005)","Action|Sci-Fi"
"45713","Unfinished Life, An (2005)","Drama"
"45715","It's a Gift (1934)","Comedy"
"45716","Exorcism of Emily Rose, The (2005)","Crime|Drama|Horror|Thriller"
"45717","Flightplan (2005)","Action|Drama|Thriller"
"45719","Corpse Bride (2005)","Animation|Comedy|Fantasy|Musical|Romance"
"45731","Green Street Hooligans (a.k.a. Hooligans) (2005)","Crime|Drama"
"45732","History of Violence, A (2005)","Action|Crime|Drama|Thriller"
"45738","Oliver Twist (2005)","Drama"
"45739","Greatest Game Ever Played, The (2005)","Drama"
"45740","Capote (2005)","Crime|Drama"
"45744","Final Fantasy VII: Advent Children (2004)","Action|Adventure|Animation|Fantasy|Sci-Fi"
"45750","Into the Blue (2005)","Action|Adventure|Crime|Thriller"
"45752","Prize Winner of Defiance Ohio, The (2005)","Drama"
"45754","MirrorMask (2005)","Adventure|Children|Drama|Fantasy"
"45758","Wallace & Gromit in The Curse of the Were-Rabbit (2005)","Adventure|Animation|Children|Comedy"
"45771","Kiss Kiss Bang Bang (2005)","Comedy|Crime|Mystery|Thriller"
"45784","Short Film About Love, A (Krótki film o milosci) (1988)","Drama|Romance"
"45786","Bubble (2006)","Crime|Drama|Mystery"
"45787","Beowulf & Grendel (2005)","Action|Adventure|Drama|Fantasy"
"45788","No Direction Home: Bob Dylan (2005)","Documentary"
"45789","Hail the Conquering Hero (1944)","Comedy"
"45790","Goal! The Dream Begins (Goal!) (2005)","Drama"
"45791","Angels in America (2003)","Drama|Fantasy"
"45792","In Her Shoes (2005)","Comedy|Drama"
"45794","Squid and the Whale, The (2005)","Comedy|Drama"
"45797","Separate Lies (2005)","Drama|Romance|Thriller"
"45798","Star Wreck: In the Pirkinning (2005)","Action|Comedy|Sci-Fi"
"45799","Brokeback Mountain (2005)","Drama|Romance"
"45806","Elizabethtown (2005)","Comedy|Drama|Romance"
"45808","North Country (2005)","Drama"
"45809","Good Night, and Good Luck. (2005)","Crime|Drama"
"45813","Proposition, The (2005)","Crime|Drama|Western"
"45815","Fog, The (2005)","Action|Horror|Mystery|Thriller"
"45816","Shopgirl (2005)","Comedy|Drama|Romance"
"45818","Emmanuel's Gift (2005)","Documentary"
"45819","Stay (2005)","Thriller"
"45823","Legend of Zorro, The (2005)","Action|Adventure|Drama|Western"
"45825","Weather Man, The (2005)","Comedy|Drama"
"45828","Saw II (2005)","Horror|Thriller"
"45836","Little Fish (2005)","Crime|Drama|Romance|Thriller"
"45837","American Pie Presents: Band Camp (American Pie 4: Band Camp) (2005)","Comedy"
"45838","Manderlay (2005)","Drama"
"45839","Revolver (2005)","Crime|Drama|Thriller"
"45840","Jarhead (2005)","Action|Drama|War"
"45844","Holy Guests (Ha-Ushpizin) (2004)","Drama"
"45845","Chicken Little (2005)","Action|Adventure|Animation|Children|Comedy|Sci-Fi"
"45852","Dead Man's Shoes (2004)","Crime|Thriller"
"45855","Joyeux Noël (Merry Christmas) (2005)","Drama|War"
"45856","Just Friends (2005)","Comedy|Romance"
"45859","Syriana (2005)","Drama|Thriller"
"45866","Derailed (2005)","Drama|Thriller"
"45868","Pride & Prejudice (2005)","Drama|Romance"
"45876","Wolf Creek (2005)","Crime|Horror|Thriller"
"45877","Descent, The (2005)","Adventure|Drama|Horror|Thriller"
"45881","Harry Potter and the Goblet of Fire (2005)","Adventure|Fantasy|Thriller|IMAX"
"45912","Walk the Line (2005)","Drama|Musical|Romance"
"45928","Rent (2005)","Drama|Musical|Romance"
"45930","C.R.A.Z.Y. (2005)","Drama"
"45935","Sarah Silverman: Jesus Is Magic (2005)","Comedy|Musical"
"45936","Breakfast on Pluto (2005)","Comedy|Drama"
"45937","Ice Harvest, The (2005)","Action|Comedy|Crime|Thriller"
"45939","Yours, Mine and Ours (2005)","Comedy|Romance"
"45940","Libertine, The (2004)","Drama"
"45941","Hondo (1953)","Western"
"45942","Match Point (2005)","Crime|Drama|Romance"
"45950","Paradise Now (2005)","Crime|Drama|Thriller|War"
"45951","Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)","Adventure|Children|Fantasy"
"45975","King Kong (2005)","Action|Adventure|Drama|Fantasy|Thriller"
"45990","Memoirs of a Geisha (2005)","Drama|Romance"
"45998","Family Stone, The (2005)","Comedy|Drama|Romance"
"46002","Matador, The (2005)","Comedy|Drama|Thriller"
"46005","Look Both Ways (2005)","Drama|Romance"
"46006","Three Burials of Melquiades Estrada, The (2006)","Adventure|Crime|Drama"
"46009","Munich (2005)","Action|Crime|Drama|Thriller"
"46018","Producers, The (2005)","Comedy|Musical"
"46022","Transamerica (2005)","Adventure|Comedy|Drama"
"46024","Rumor Has It... (2005)","Comedy|Drama|Romance"
"46025","Cheaper by the Dozen 2 (2005)","Adventure|Comedy"
"46028","Fun with Dick and Jane (2005)","Comedy|Crime"
"46033","Ringer, The (2005)","Comedy"
"46034","Casanova (2005)","Action|Adventure|Comedy|Drama|Romance"
"46035","Mrs. Henderson Presents (2005)","Comedy|Drama"
"46036","Keeping Mum (2005)","Comedy|Crime"
"46038","New World, The (2005)","Adventure|Drama|Romance"
"46042","Voices of a Distant Star (Hoshi no koe) (2003)","Animation|Drama|Romance|Sci-Fi"
"46043","Lady Vengeance (Sympathy for Lady Vengeance) (Chinjeolhan geumjassi) (2005)","Crime|Drama|Mystery|Thriller"
"46047","District 13 (Banlieue 13) (2004)","Action|Crime|Sci-Fi"
"46051","BloodRayne (2005)","Action|Fantasy"
"46052","Hostel (2005)","Horror"
"46054","Grandma's Boy (2006)","Comedy"
"46055","Tristan & Isolde (2006)","Drama|Romance"
"46058","Glory Road (2006)","Drama"
"46059","Last Holiday (2006)","Comedy"
"46060","Hoodwinked! (2005)","Animation|Children|Comedy"
"46063","Underworld: Evolution (2006)","Action|Fantasy|Horror"
"46069","Water (2005)","Drama|Romance"
"46070","Sophie Scholl: The Final Days (Sophie Scholl - Die letzten Tage) (2005)","Drama|War"
"46071","World's Fastest Indian, The (2005)","Drama"
"46072","Bandidas (2006)","Action|Comedy|Crime|Western"
"46074","Tristram Shandy: A Cock and Bull Story (2005)","Comedy|Drama"
"46075","Annapolis (2006)","Drama"
"46077","Nanny McPhee (2005)","Children|Comedy|Fantasy"
"46079","Tuskegee Airmen, The (1995)","Drama|War"
"46080","Final Destination 3 (2006)","Horror|Mystery|Thriller"
"46083","Block Party (a.k.a. Dave Chappelle's Block Party) (2005)","Comedy|Documentary"
"46084","Curious George (2006)","Adventure|Animation|Children|Comedy"
"46085","Firewall (2006)","Crime|Drama|Thriller"
"46087","London (2005)","Drama"
"46088","Eight Below (2006)","Action|Adventure|Drama|Romance"
"46089","Date Movie (2006)","Comedy|Romance"
"46090","Running Scared (2006)","Action|Crime|Thriller"
"46093","Ultraviolet (2006)","Action|Fantasy|Sci-Fi|Thriller"
"46098","Just My Luck (2006)","Comedy|Romance"
"46100","Pulse (2006)","Action|Drama|Fantasy|Horror|Mystery|Sci-Fi|Thriller"
"46102","16 Blocks (2006)","Crime|Thriller"
"46110","Half Light (2006)","Romance|Thriller"
"46111","Failure to Launch (2006)","Comedy|Romance"
"46112","Ice Age 2: The Meltdown (2006)","Adventure|Animation|Children|Comedy"
"46119","Ask the Dust (2006)","Drama|Romance"
"46120","V for Vendetta (2006)","Action|Sci-Fi|Thriller|IMAX"
"46153","She's the Man (2006)","Comedy|Romance"
"46158","Thank You for Smoking (2006)","Comedy|Drama"
"46177","Inside Man (2006)","Crime|Drama|Thriller"
"46189","Tsotsi (2005)","Crime|Drama"
"46191","Aquamarine (2006)","Children|Comedy|Fantasy"
"46193","Hills Have Eyes, The (2006)","Drama|Horror|Thriller"
"46194","Shaggy Dog, The (2006)","Adventure|Children|Comedy|Fantasy"
"46195","Son of the Pink Panther (1993)","Comedy"
"46196","Lives of Others, The (Das leben der Anderen) (2006)","Drama|Romance|Thriller"
"46213","Nanook of the North (1922)","Documentary|Drama"
"46214","Take the Lead (2006)","Drama"
"46216","Devil and Daniel Johnston, The (2005)","Documentary"
"46217","Mouchette (1967)","Drama"
"46218","Lucky Number Slevin (2006)","Crime|Drama|Mystery"
"46238","Volver (2006)","Comedy|Drama"
"46241","Akeelah and the Bee (2006)","Drama"
"46242","Stay Alive (2006)","Horror|Sci-Fi|Thriller"
"46243","Basic Instinct 2 (2006)","Crime|Drama|Mystery|Thriller"
"46244","Brick (2005)","Crime|Drama|Film-Noir|Mystery"
"46249","This Film Is Not Yet Rated (2006)","Documentary"
"46253","Slither (2006)","Comedy|Horror|Sci-Fi"
"46254","Benchwarmers, The (2006)","Comedy"
"46256","Renaissance (2006)","Action|Animation|Film-Noir|Sci-Fi|Thriller"
"46258","Friends with Money (2006)","Comedy|Drama|Romance"
"46260","9/11 (2002)","Documentary"
"46262","Scary Movie 4 (2006)","Comedy|Horror"
"46265","Hard Candy (2005)","Drama|Thriller"
"46268","Prairie Home Companion, A (2006)","Comedy|Drama|Musical"
"46270","Sentinel, The (2006)","Crime|Drama|Thriller"
"46273","Wild, The (2006)","Adventure|Animation|Children|Comedy|Fantasy"
"46275","Silent Hill (2006)","Fantasy|Horror|Thriller"
"46277","American Dreamz (2006)","Comedy|Drama"
"46279","Kinky Boots (2005)","Comedy|Drama"
"46280","Protector, The (a.k.a. Warrior King) (Tom yum goong) (2005)","Action|Comedy|Crime|Thriller"
"46281","Mission: Impossible III (2006)","Action|Adventure|Thriller"
"46291","RV (2006)","Adventure|Children|Comedy"
"46292","United 93 (2006)","Crime|Drama"
"46296","Stick It (2006)","Comedy"
"46299","American Haunting, An (2005)","Drama|Horror|Mystery|Thriller"
"46301","Over the Hedge (2006)","Adventure|Animation|Children|Comedy"
"46309","Art School Confidential (2006)","Comedy|Drama"
"46311","Poseidon (2006)","Action|Adventure|Thriller|IMAX"
"46315","Da Vinci Code, The (2006)","Drama|Mystery|Thriller"
"46324","X-Men: The Last Stand (2006)","Action|Sci-Fi|Thriller"
"46340","Break-Up, The (2006)","Comedy|Drama|Romance"
"46343","Cars (2006)","Animation|Children|Comedy"
"46350","Omen, The (2006)","Horror|Thriller"
"46353","Nacho Libre (2006)","Comedy"
"46354","Lake House, The (2006)","Drama|Fantasy|Romance"
"46357","Click (2006)","Adventure|Comedy|Drama|Fantasy|Romance"
"46363","Devil Wears Prada, The (2006)","Comedy|Drama"
"46371","Pirates of the Caribbean: Dead Man's Chest (2006)","Action|Adventure|Fantasy"
"46400","You, Me and Dupree (2006)","Comedy"
"46403","Clerks II (2006)","Comedy"
"46412","Lady in the Water (2006)","Drama|Fantasy|Mystery"
"46414","My Super Ex-Girlfriend (2006)","Comedy|Fantasy|Romance"
"46416","Marie Antoinette (2006)","Drama|Romance"
"46418","Inconvenient Truth, An (2006)","Documentary"
"46425","High School Musical (2006)","Children|Comedy|Drama|Musical|Romance"
"46427","Marked Woman (1937)","Crime|Drama|Film-Noir"
"46428","Jet Li's Fearless (Huo Yuan Jia) (2006)","Action|Drama"
"46433","Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) (2006)","Action|Crime|Drama|Thriller"
"46436","Superman Returns (2006)","Action|Adventure|Sci-Fi|IMAX"
"46443","Road to Guantanamo, The (2006)","Drama|War"
"46444","OH in Ohio, The (2006)","Comedy"
"46445","Little Miss Sunshine (2006)","Adventure|Comedy|Drama"
"46470","Fallen Idol, The (1948)","Drama|Mystery|Thriller"
"46471","Babel (2006)","Drama|Thriller"
"46478","Young Mr. Lincoln (1939)","Drama"
"46479","Little Man (2006)","Comedy"
"46480","Monster House (2006)","Animation|Children|Fantasy|Mystery"
"46483","Combien Tu M'aimes? (How Much Do You Love Me?) (2005)","Comedy|Romance"
"46484","Snakes on a Plane (2006)","Action|Comedy|Horror|Thriller"
"46488","Scoop (2006)","Comedy|Fantasy|Mystery"
"46492","Talladega Nights: The Ballad of Ricky Bobby (2006)","Action|Comedy"
"46498","Night at the Museum (2006)","Action|Comedy|Fantasy|IMAX"
"46508","Stranger than Fiction (2006)","Comedy|Drama|Fantasy|Romance"
"46525","Miami Vice (2006)","Action|Crime|Drama|Thriller"
"46531","Live and Become (Va, vis et deviens) (2005)","Drama"
"46532","Pursuit of Happyness, The (2006)","Drama"
"46539","John Tucker Must Die (2006)","Comedy|Romance"
"46541","Ant Bully, The (2006)","Adventure|Animation|Children|Comedy|Fantasy|IMAX"
"46543","Crank (2006)","Action|Thriller"
"46547","Murmur of the Heart (Le souffle au coeur) (1971)","Drama"
"46548","Step Up (2006)","Drama|Romance"
"46550","Mind Game (2004)","Adventure|Animation|Comedy|Fantasy|Romance|Sci-Fi"
"46551","Half Nelson (2006)","Drama"
"46552","Adam's Apples (Adams æbler) (2005)","Comedy|Drama"
"46554","Material Girls (2006)","Children|Comedy|Drama"
"46555","Accepted (2006)","Comedy"
"46558","Illusionist, The (2006)","Drama|Fantasy|Mystery|Romance"
"46573","Queen, The (2006)","Drama"
"46577","Beerfest (2006)","Comedy"
"46579","Invincible (2006)","Drama"
"46580","Syrian Bride, The (2004)","Drama"
"46581","Angel-A (2005)","Comedy|Drama|Fantasy|Romance"
"46582","Wicker Man, The (2006)","Horror|Mystery|Thriller"
"46585","Covenant, The (2006)","Action|Horror|Thriller"
"46587","Last Kiss, The (2006)","Comedy|Drama"
"46589","Trust the Man (2005)","Comedy|Drama|Romance"
"46590","SherryBaby (2006)","Drama"
"46591","Idiocracy (2006)","Adventure|Comedy|Sci-Fi|Thriller"
"46593","Jesus Camp (2006)","Documentary|Drama"
"46594","Fountain, The (2006)","Drama|Fantasy|Romance"
"46600","Snoopy Come Home (1972)","Animation|Children|Comedy|Musical"
"46601","Science of Sleep, The (La science des rêves) (2006)","Comedy|Drama|Fantasy|Romance"
"46607","Gridiron Gang (2006)","Drama"
"46608","Apocalypto (2006)","Adventure|Drama|Thriller"
"46614","Flyboys (2006)","Action|Adventure|Drama|War"
"46615","Jackass Number Two (2006)","Comedy|Documentary"
"46618","Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)","Comedy"
"46639","Pan's Labyrinth (Laberinto del fauno, El) (2006)","Drama|Fantasy|Thriller"
"46668","Guardian, The (2006)","Action|Adventure|Drama"
"46670","Open Season (2006)","Adventure|Animation|Children|Comedy|IMAX"
"46672","School for Scoundrels (2006)","Comedy|Crime"
"46673","Departed, The (2006)","Crime|Drama|Thriller"
"46705","Employee of the Month (2006)","Comedy"
"46711","Antibodies (Antikörper) (2005)","Crime|Drama|Horror|Thriller"
"46712","Running With Scissors (2006)","Comedy|Drama"
"46713","Marine, The (2006)","Action|Drama|Thriller"
"46715","One Night with the King (2006)","Drama"
"46716","Offside (2006)","Comedy|Drama"
"46717","Little Children (2006)","Drama|Romance"
"46719","Last King of Scotland, The (2006)","Drama|Thriller"
"46725","U.S. vs. John Lennon, The (2006)","Documentary"
"46726","Children of Men (2006)","Action|Adventure|Drama|Sci-Fi|Thriller"
"46750","Prestige, The (2006)","Drama|Mystery|Sci-Fi|Thriller"
"46772","Flags of Our Fathers (2006)","Drama|War"
"46773","Guide to Recognizing Your Saints, A (2006)","Crime|Drama"
"46774","13 Tzameti (2005)","Film-Noir|Thriller"
"46775","Saw III (2006)","Crime|Horror|Thriller"
"46777","The Butterfly Effect 2 (2006)","Adventure|Drama|Romance|Sci-Fi|Thriller"
"46778","Flushed Away (2006)","Animation|Comedy"
"46780","Perfume: The Story of a Murderer (2006)","Crime|Drama|Thriller"
"46781","Good Year, A (2006)","Comedy|Drama|Romance"
"46783","Shut Up & Sing (2006)","Documentary"
"46785","Return, The (2006)","Sci-Fi|Thriller"
"46786","For Your Consideration (2006)","Comedy"
"46787","Casino Royale (2006)","Action|Adventure|Thriller"
"46817","Happy Feet (2006)","Adventure|Animation|Children|Comedy|IMAX"
"46821","Let's Go to Prison (2006)","Comedy"
"46822","Déjà Vu (Deja Vu) (2006)","Action|Sci-Fi|Thriller"
"46829","Holiday, The (2006)","Comedy|Romance"
"46835","Harsh Times (2006)","Action|Crime|Drama"
"46836","Fast Food Nation (2006)","Drama"
"46837","Tenacious D in The Pick of Destiny (2006)","Adventure|Comedy|Musical"
"46838","OSS 117: Cairo, Nest of Spies (OSS 117: Le Caire nid d'espions) (2006)","Adventure|Comedy|Crime"
"46839","National Lampoon's Van Wilder: The Rise of Taj (2006)","Comedy"
"46840","Turistas (2006)","Adventure|Drama|Horror|Mystery|Thriller"
"46841","Blood Diamond (2006)","Action|Adventure|Crime|Drama|Thriller|War"
"46857","Charlotte's Web (2006)","Children|Comedy|Drama|Fantasy"
"46858","Eragon (2006)","Action|Adventure|Fantasy"
"46861","Rocky Balboa (2006)","Action|Drama"
"46865","Red-Headed Woman (1932)","Comedy|Romance"
"46866","Painted Veil, The (2006)","Drama|Romance"
"46868","We Are Marshall (2006)","Drama"
"46869","Good Shepherd, The (2006)","Drama|Thriller"
"46871","Dreamgirls (2006)","Drama|Musical"
"46873","Freedom Writers (2007)","Drama"
"46875","When the Levees Broke: A Requiem in Four Acts (2006)","Documentary"
"46876","Inland Empire (2006)","Drama|Mystery|Thriller"
"46878","Notes on a Scandal (2006)","Drama"
"46879","Curse of the Golden Flower (Man cheng jin dai huang jin jia) (2006)","Action|Drama"
"46880","Sweet Land (2005)","Drama|Romance"
"46881","Letters from Iwo Jima (2006)","Drama|War"
"46882","Code Name: The Cleaner (2007)","Action|Comedy|Crime"
"46883","Stomp the Yard (2007)","Drama|Musical"
"46885","Miss Potter (2006)","Drama"
"46889","Arthur and the Invisibles (2007)","Action|Children|Fantasy"
"46890","Young Girls of Rochefort, The (Demoiselles de Rochefort, Les) (1967)","Comedy|Musical|Romance"
"46891","Primeval (2007)","Horror|Thriller"
"46892","Alpha Dog (2007)","Crime|Drama"
"46895","After the Wedding (Efter brylluppet) (2006)","Drama"
"46897","49 Up (2005)","Documentary"
"46899","Waitress (2007)","Comedy|Drama|Romance"
"46904","Neverwas (2005)","Drama|Fantasy|Mystery"
"46907","Seven Up! (1964)","Documentary"
"46909","7 Plus Seven (1970)","Documentary"
"46910","Smokin' Aces (2006)","Action|Crime|Drama|Thriller"
"46916","Epic Movie (2007)","Adventure|Comedy"
"46919","Because I Said So (2007)","Comedy|Drama|Romance"
"46920","Hannibal Rising (2007)","Drama|Horror|Thriller"
"46922","Ratatouille (2007)","Animation|Children|Drama"
"46946","Paris, I Love You (Paris, je t'aime) (2006)","Romance"
"46948","Days of Glory (Indigènes) (2006)","Action|Adventure|Drama|War"
"46949","Ghost Rider (2007)","Action|Fantasy|Thriller"
"46954","Breach (2007)","Drama|Thriller"
"46955","Tyler Perry's Daddy's Little Girls (2007)","Comedy|Romance"
"46956","Music and Lyrics (2007)","Comedy|Romance"
"46960","Number 23, The (2007)","Drama|Mystery|Thriller"
"46963","Reno 911!: Miami (2007)","Comedy"
"46964","Black Snake Moan (2006)","Drama"
"46965","Factory Girl (2006)","Drama"
"46966","Hot Fuzz (2007)","Action|Comedy|Crime|Mystery"
"46982","Citizen X (1995)","Crime|Drama|Thriller"
"46983","""Great Performances"" Cats (1998)","Musical"
"46984","Next (2007)","Action|Sci-Fi|Thriller"
"46988","Breaking and Entering (2006)","Drama"
"46989","Amazing Grace (2006)","Drama|Romance"
"46991","Zodiac (2007)","Crime|Drama|Thriller"
"46998","Wild Hogs (2007)","Adventure|Comedy"
"47001","Man About Town (2006)","Comedy|Drama"
"47002","Ultimate Gift, The (2006)","Drama"
"47004","300 (2007)","Action|Fantasy|War|IMAX"
"47029","Abandoned, The (2006)","Horror|Mystery|Thriller"
"47030","Last Mimzy, The (2007)","Adventure|Children|Sci-Fi"
"47031","Priceless (Hors de prix) (2006)","Comedy|Romance"
"47032","Host, The (Gwoemul) (2006)","Comedy|Drama|Horror|Sci-Fi|Thriller"
"47034","Becoming Jane (2007)","Drama|Romance"
"47035","Namesake, The (2006)","Drama|Romance"
"47036","Premonition (2007)","Drama|Fantasy|Mystery|Thriller"
"47037","Reign Over Me (2007)","Drama"
"47041","Shooter (2007)","Action|Drama|Thriller"
"47048","TMNT (Teenage Mutant Ninja Turtles) (2007)","Action|Adventure|Animation|Children|Comedy|Fantasy"
"47049","Nomad (Köshpendiler) (2005)","Drama|War"
"47050","Black Book (Zwartboek) (2006)","Drama|Thriller|War"
"47053","Lookout, The (2007)","Crime|Drama|Thriller"
"47054","Blades of Glory (2007)","Comedy|Romance"
"47058","Grindhouse (2007)","Action|Crime|Horror|Sci-Fi|Thriller"
"47063","Meet the Robinsons (2007)","Action|Adventure|Animation|Children|Comedy|Sci-Fi"
"47067","Inglorious Bastards (Quel maledetto treno blindato) (1978)","Action|Adventure|Drama|War"
"47069","Sunshine (2007)","Adventure|Drama|Sci-Fi|Thriller"
"47073","Hoax, The (2007)","Crime|Drama"
"47075","How the Grinch Stole Christmas! (1966)","Animation|Comedy|Fantasy|Musical"
"47077","Goya's Ghosts (2006)","Drama"
"47078","Perfect Stranger (2007)","Crime|Drama|Mystery|Thriller"
"47079","Disturbia (2007)","Drama|Thriller"
"47081","Pathfinder (2007)","Action|Adventure|Drama|Thriller|War"
"47083","Aqua Teen Hunger Force Colon Movie Film for Theaters (2007)","Action|Adventure|Animation|Comedy|Fantasy|Mystery|Sci-Fi"
"47084","Tristana (1970)","Drama"
"47085","Vie en Rose, La (Môme, La) (2007)","Drama|Musical"
"47087","Contract, The (2006)","Crime|Drama|Thriller"
"47088","Fracture (2007)","Crime|Drama|Mystery|Thriller"
"47092","In the Land of Women (2007)","Comedy|Drama|Romance"
"47093","Spider-Man 3 (2007)","Action|Adventure|Sci-Fi|Thriller|IMAX"
"47104","21 Up (1977)","Documentary"
"47106","Tales from Earthsea (Gedo Senki) (2006)","Adventure|Animation|Fantasy"
"47107","Ex, The (2007)","Comedy|Romance"
"47108","Paprika (Papurika) (2006)","Animation|Mystery|Sci-Fi"
"47112","Day Watch (Dnevnoy dozor) (2006)","Action|Fantasy|Horror|Thriller"
"47113","This Is England (2006)","Drama"
"47117","Away from Her (2006)","Drama"
"47119","Knocked Up (2007)","Comedy|Drama|Romance"
"47133","Hairspray (2007)","Comedy|Drama|Musical"
"47134","28 Weeks Later (2007)","Horror|Sci-Fi|Thriller"
